date,"Education, Science & Tech",Entertainment,Gaming,Howto & Style,Music,News & Politics,Others
"(2005, 28)",1.0,3.0,0.0,14.0,0.0,0.0,24.0
"(2005, 29)",1.0,0.0,0.0,0.0,0.0,0.0,47.0
"(2005, 30)",0.0,0.0,0.0,0.0,0.0,0.0,29.0
"(2005, 31)",1.0,0.0,0.0,1.0,0.0,0.0,25.0
"(2005, 33)",0.0,0.0,0.0,0.0,0.0,0.0,6.0
"(2005, 36)",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(2005, 37)",0.0,4.0,0.0,0.0,0.0,0.0,0.0
"(2005, 39)",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(2005, 41)",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(2005, 42)",0.0,2.0,0.0,0.0,0.0,0.0,0.0
"(2005, 43)",0.0,2.0,0.0,1.0,0.0,0.0,2.0
"(2005, 44)",3.0,1.0,0.0,1.0,0.0,0.0,7.0
"(2005, 45)",0.0,6.0,0.0,1.0,0.0,0.0,1.0
"(2005, 46)",3.0,4.0,0.0,1.0,1.0,0.0,2.0
"(2005, 47)",1.0,5.0,0.0,0.0,0.0,0.0,2.0
"(2005, 48)",0.0,3.0,0.0,2.0,1.0,0.0,0.0
"(2005, 49)",0.0,2.0,0.0,4.0,2.0,0.0,0.0
"(2005, 50)",0.0,4.0,0.0,0.0,3.0,0.0,2.0
"(2005, 51)",0.0,18.0,0.0,1.0,0.0,6.0,38.0
"(2005, 52)",0.0,6.0,0.0,0.0,3.0,1.0,0.0
"(2006, 01)",0.0,8.0,0.0,1.0,1.0,1.0,3.0
"(2006, 02)",3.0,16.0,0.0,2.0,8.0,0.0,23.0
"(2006, 03)",0.0,5.0,0.0,2.0,3.0,0.0,35.0
"(2006, 04)",0.0,12.0,0.0,1.0,6.0,0.0,5.0
"(2006, 05)",0.0,12.0,0.0,2.0,2.0,1.0,5.0
"(2006, 06)",0.0,17.0,0.0,3.0,4.0,1.0,116.0
"(2006, 07)",3.0,16.0,0.0,2.0,24.0,2.0,10.0
"(2006, 08)",0.0,26.0,1.0,6.0,7.0,9.0,4.0
"(2006, 09)",1.0,22.0,0.0,10.0,16.0,1.0,33.0
"(2006, 10)",0.0,32.0,0.0,8.0,7.0,0.0,4.0
"(2006, 11)",0.0,29.0,0.0,6.0,10.0,3.0,13.0
"(2006, 12)",0.0,24.0,0.0,13.0,15.0,4.0,12.0
"(2006, 13)",2.0,45.0,1.0,3.0,8.0,3.0,16.0
"(2006, 14)",1.0,50.0,3.0,1.0,26.0,4.0,59.0
"(2006, 15)",0.0,73.0,1.0,4.0,19.0,1.0,30.0
"(2006, 16)",0.0,87.0,0.0,4.0,17.0,4.0,17.0
"(2006, 17)",0.0,121.0,1.0,11.0,37.0,8.0,30.0
"(2006, 18)",0.0,30.0,1.0,5.0,35.0,1.0,41.0
"(2006, 19)",0.0,55.0,0.0,12.0,67.0,18.0,32.0
"(2006, 20)",2.0,36.0,0.0,7.0,88.0,14.0,36.0
"(2006, 21)",1.0,64.0,1.0,12.0,43.0,10.0,46.0
"(2006, 22)",5.0,89.0,1.0,9.0,45.0,11.0,35.0
"(2006, 23)",0.0,162.0,3.0,3.0,74.0,49.0,34.0
"(2006, 24)",10.0,175.0,0.0,14.0,37.0,6.0,71.0
"(2006, 25)",2.0,278.0,1.0,7.0,62.0,16.0,74.0
"(2006, 26)",10.0,168.0,2.0,10.0,64.0,7.0,40.0
"(2006, 27)",17.0,220.0,6.0,10.0,42.0,8.0,81.0
"(2006, 28)",3.0,141.0,6.0,7.0,39.0,14.0,90.0
"(2006, 29)",9.0,110.0,4.0,8.0,95.0,15.0,66.0
"(2006, 30)",6.0,140.0,6.0,4.0,56.0,12.0,120.0
"(2006, 31)",1.0,221.0,2.0,12.0,74.0,23.0,89.0
"(2006, 32)",12.0,303.0,5.0,7.0,73.0,27.0,85.0
"(2006, 33)",3.0,247.0,3.0,12.0,138.0,14.0,87.0
"(2006, 34)",2.0,225.0,0.0,23.0,91.0,32.0,90.0
"(2006, 35)",3.0,258.0,1.0,20.0,120.0,26.0,165.0
"(2006, 36)",4.0,154.0,4.0,47.0,139.0,20.0,183.0
"(2006, 37)",2.0,196.0,0.0,32.0,142.0,33.0,167.0
