date,"Education, Science & Tech",Entertainment,Gaming,Howto & Style,Music,News & Politics,Others
"(2006, 38)",8.0,176.0,4.0,41.0,113.0,36.0,148.0
"(2006, 39)",6.0,281.0,5.0,22.0,121.0,42.0,182.0
"(2006, 40)",2.0,263.0,9.0,33.0,137.0,34.0,139.0
"(2006, 41)",7.0,199.0,2.0,53.0,168.0,34.0,166.0
"(2006, 42)",13.0,275.0,20.0,34.0,201.0,34.0,187.0
"(2006, 43)",13.0,276.0,9.0,52.0,158.0,45.0,226.0
"(2006, 44)",5.0,281.0,6.0,30.0,226.0,35.0,204.0
"(2006, 45)",10.0,185.0,12.0,35.0,210.0,58.0,231.0
"(2006, 46)",4.0,267.0,12.0,29.0,143.0,49.0,248.0
"(2006, 47)",10.0,322.0,20.0,50.0,138.0,30.0,207.0
"(2006, 48)",10.0,325.0,10.0,24.0,194.0,65.0,253.0
"(2006, 49)",11.0,327.0,23.0,49.0,171.0,47.0,225.0
"(2006, 50)",6.0,509.0,15.0,61.0,177.0,70.0,251.0
"(2006, 51)",8.0,330.0,4.0,54.0,143.0,44.0,254.0
"(2006, 52)",7.0,181.0,13.0,45.0,106.0,19.0,172.0
"(2007, 01)",53.0,608.0,22.0,55.0,234.0,77.0,323.0
"(2007, 02)",16.0,357.0,34.0,55.0,212.0,28.0,302.0
"(2007, 03)",4.0,431.0,9.0,47.0,170.0,72.0,301.0
"(2007, 04)",24.0,380.0,16.0,85.0,205.0,80.0,294.0
"(2007, 05)",35.0,463.0,14.0,104.0,255.0,62.0,334.0
"(2007, 06)",33.0,613.0,10.0,108.0,198.0,59.0,468.0
"(2007, 07)",28.0,434.0,29.0,70.0,240.0,88.0,465.0
"(2007, 08)",28.0,474.0,129.0,90.0,288.0,71.0,362.0
"(2007, 09)",16.0,645.0,101.0,108.0,311.0,63.0,453.0
"(2007, 10)",16.0,558.0,37.0,200.0,320.0,68.0,477.0
"(2007, 11)",14.0,612.0,45.0,98.0,285.0,58.0,396.0
"(2007, 12)",15.0,614.0,35.0,99.0,288.0,61.0,402.0
"(2007, 13)",14.0,644.0,48.0,85.0,409.0,84.0,586.0
"(2007, 14)",13.0,800.0,46.0,78.0,304.0,70.0,569.0
"(2007, 15)",12.0,667.0,49.0,84.0,329.0,100.0,417.0
"(2007, 16)",13.0,771.0,54.0,75.0,339.0,123.0,503.0
"(2007, 17)",19.0,488.0,12.0,72.0,361.0,93.0,371.0
"(2007, 18)",13.0,665.0,16.0,87.0,307.0,1929.0,522.0
"(2007, 19)",30.0,659.0,43.0,124.0,342.0,151.0,483.0
"(2007, 20)",31.0,673.0,40.0,123.0,315.0,194.0,519.0
"(2007, 21)",46.0,694.0,45.0,132.0,488.0,172.0,478.0
"(2007, 22)",38.0,848.0,101.0,100.0,408.0,127.0,439.0
"(2007, 23)",41.0,666.0,114.0,90.0,483.0,134.0,444.0
"(2007, 24)",73.0,740.0,162.0,91.0,364.0,164.0,510.0
"(2007, 25)",252.0,757.0,53.0,115.0,304.0,222.0,474.0
"(2007, 26)",74.0,910.0,79.0,154.0,404.0,158.0,492.0
"(2007, 27)",84.0,1053.0,61.0,61.0,377.0,151.0,542.0
"(2007, 28)",64.0,888.0,172.0,119.0,321.0,169.0,583.0
"(2007, 29)",60.0,1148.0,127.0,150.0,361.0,310.0,437.0
"(2007, 30)",76.0,1007.0,87.0,429.0,357.0,153.0,504.0
"(2007, 31)",94.0,976.0,140.0,91.0,321.0,113.0,629.0
"(2007, 32)",45.0,977.0,136.0,115.0,491.0,174.0,426.0
"(2007, 33)",48.0,1005.0,126.0,91.0,390.0,150.0,377.0
"(2007, 34)",52.0,883.0,91.0,101.0,450.0,197.0,436.0
"(2007, 35)",55.0,715.0,102.0,191.0,375.0,275.0,486.0
"(2007, 36)",49.0,825.0,116.0,141.0,400.0,210.0,580.0
"(2007, 37)",70.0,818.0,102.0,125.0,421.0,211.0,681.0
"(2007, 38)",36.0,920.0,85.0,147.0,417.0,274.0,713.0
"(2007, 39)",70.0,893.0,51.0,183.0,444.0,200.0,608.0
"(2007, 40)",68.0,944.0,76.0,119.0,427.0,212.0,651.0
"(2007, 41)",113.0,1211.0,69.0,1221.0,448.0,254.0,662.0
"(2007, 42)",97.0,966.0,68.0,190.0,448.0,364.0,791.0
"(2007, 43)",78.0,998.0,31.0,166.0,501.0,261.0,704.0
"(2007, 44)",137.0,1290.0,42.0,234.0,471.0,360.0,707.0
"(2007, 45)",218.0,1031.0,49.0,144.0,589.0,309.0,708.0
"(2007, 46)",237.0,1175.0,46.0,149.0,623.0,294.0,799.0
"(2007, 47)",218.0,1198.0,37.0,116.0,564.0,250.0,794.0
"(2007, 48)",198.0,1313.0,40.0,214.0,575.0,290.0,953.0
"(2007, 49)",359.0,1121.0,93.0,141.0,678.0,281.0,753.0
"(2007, 50)",416.0,994.0,72.0,234.0,580.0,281.0,784.0
"(2007, 51)",394.0,982.0,46.0,178.0,594.0,192.0,737.0
"(2007, 52)",198.0,769.0,84.0,141.0,382.0,145.0,593.0
"(2008, 01)",679.0,1572.0,348.0,739.0,945.0,289.0,1217.0
"(2008, 02)",472.0,1204.0,83.0,252.0,663.0,263.0,714.0
"(2008, 03)",583.0,1221.0,69.0,158.0,639.0,268.0,913.0
"(2008, 04)",733.0,1153.0,93.0,120.0,662.0,351.0,974.0
"(2008, 05)",1020.0,1083.0,198.0,171.0,607.0,315.0,855.0
"(2008, 06)",766.0,1399.0,153.0,270.0,573.0,258.0,1023.0
"(2008, 07)",564.0,1318.0,181.0,232.0,645.0,302.0,960.0
"(2008, 08)",433.0,1516.0,171.0,188.0,632.0,320.0,957.0
"(2008, 09)",471.0,1398.0,188.0,238.0,631.0,300.0,867.0
"(2008, 10)",446.0,1327.0,144.0,202.0,575.0,312.0,823.0
"(2008, 11)",447.0,1599.0,113.0,152.0,622.0,319.0,939.0
"(2008, 12)",435.0,1388.0,147.0,253.0,741.0,312.0,868.0
"(2008, 13)",604.0,1498.0,121.0,243.0,717.0,307.0,1139.0
"(2008, 14)",500.0,1419.0,86.0,245.0,846.0,287.0,1091.0
"(2008, 15)",578.0,1440.0,78.0,264.0,747.0,357.0,1119.0
"(2008, 16)",553.0,1275.0,104.0,234.0,798.0,508.0,1312.0
"(2008, 17)",940.0,1732.0,117.0,288.0,782.0,409.0,1245.0
"(2008, 18)",806.0,1447.0,129.0,339.0,830.0,356.0,1198.0
"(2008, 19)",627.0,1758.0,103.0,229.0,787.0,376.0,1439.0
"(2008, 20)",686.0,1571.0,122.0,215.0,900.0,371.0,1542.0
"(2008, 21)",694.0,1495.0,218.0,260.0,847.0,494.0,1450.0
"(2008, 22)",541.0,1390.0,143.0,257.0,751.0,316.0,1397.0
"(2008, 23)",555.0,1593.0,145.0,221.0,779.0,370.0,1279.0
"(2008, 24)",751.0,1560.0,168.0,174.0,860.0,301.0,1497.0
"(2008, 25)",663.0,1606.0,186.0,273.0,753.0,375.0,1577.0
"(2008, 26)",689.0,1502.0,310.0,346.0,1064.0,397.0,1413.0
"(2008, 27)",643.0,1412.0,314.0,253.0,854.0,416.0,1352.0
"(2008, 28)",741.0,1588.0,404.0,246.0,897.0,451.0,1345.0
"(2008, 29)",675.0,1729.0,492.0,260.0,887.0,900.0,1129.0
"(2008, 30)",776.0,1297.0,402.0,290.0,940.0,382.0,1205.0
"(2008, 31)",684.0,1652.0,587.0,310.0,875.0,366.0,1128.0
"(2008, 32)",672.0,1326.0,469.0,269.0,770.0,346.0,1286.0
"(2008, 33)",663.0,1492.0,494.0,274.0,918.0,422.0,1147.0
"(2008, 34)",675.0,1534.0,536.0,269.0,1063.0,430.0,1133.0
"(2008, 35)",728.0,1467.0,599.0,448.0,1243.0,684.0,1183.0
"(2008, 36)",642.0,1547.0,574.0,332.0,1001.0,624.0,1080.0
"(2008, 37)",708.0,1538.0,532.0,312.0,1068.0,506.0,1034.0
"(2008, 38)",714.0,1546.0,577.0,304.0,1098.0,551.0,1098.0
"(2008, 39)",756.0,1597.0,636.0,318.0,1053.0,446.0,1257.0
"(2008, 40)",722.0,1499.0,699.0,307.0,1096.0,606.0,1272.0
"(2008, 41)",695.0,1635.0,740.0,717.0,1054.0,626.0,1335.0
"(2008, 42)",765.0,1827.0,875.0,551.0,1104.0,552.0,1421.0
"(2008, 43)",896.0,1734.0,929.0,373.0,1229.0,440.0,1448.0
"(2008, 44)",761.0,1985.0,844.0,1032.0,1395.0,555.0,1286.0
"(2008, 45)",828.0,1859.0,872.0,1185.0,1139.0,581.0,1561.0
"(2008, 46)",845.0,1917.0,936.0,1411.0,1104.0,510.0,1437.0
"(2008, 47)",1022.0,2394.0,967.0,1360.0,1128.0,505.0,1571.0
"(2008, 48)",722.0,2349.0,865.0,938.0,1079.0,359.0,1573.0
"(2008, 49)",729.0,2208.0,905.0,735.0,1276.0,436.0,1491.0
"(2008, 50)",776.0,2102.0,869.0,909.0,1120.0,443.0,1582.0
"(2008, 51)",703.0,2120.0,868.0,876.0,1278.0,457.0,1491.0
"(2008, 52)",646.0,1503.0,759.0,1806.0,1199.0,235.0,1142.0
"(2009, 01)",412.0,1215.0,547.0,796.0,626.0,144.0,682.0
"(2009, 02)",995.0,2084.0,835.0,907.0,1528.0,468.0,1713.0
"(2009, 03)",1064.0,2060.0,807.0,594.0,1428.0,672.0,1812.0
"(2009, 04)",1107.0,2315.0,784.0,906.0,1491.0,732.0,1721.0
"(2009, 05)",1052.0,2246.0,986.0,1009.0,1295.0,651.0,1838.0
"(2009, 06)",961.0,2272.0,942.0,720.0,1446.0,566.0,1841.0
"(2009, 07)",952.0,2021.0,998.0,591.0,1815.0,533.0,1707.0
"(2009, 08)",979.0,2137.0,1037.0,495.0,1576.0,584.0,1666.0
"(2009, 09)",1028.0,2221.0,1194.0,546.0,2028.0,611.0,2123.0
"(2009, 10)",957.0,2519.0,1387.0,482.0,1882.0,586.0,1848.0
"(2009, 11)",927.0,2795.0,1216.0,505.0,1858.0,637.0,1916.0
"(2009, 12)",994.0,2662.0,1133.0,608.0,1709.0,575.0,1930.0
"(2009, 13)",1267.0,2287.0,1169.0,422.0,1521.0,593.0,2014.0
"(2009, 14)",1214.0,2425.0,1030.0,403.0,1743.0,927.0,1989.0
"(2009, 15)",1148.0,2441.0,1036.0,604.0,1758.0,793.0,2269.0
"(2009, 16)",1263.0,2256.0,1069.0,452.0,1854.0,825.0,1845.0
"(2009, 17)",1183.0,2456.0,1248.0,556.0,1800.0,1162.0,2360.0
"(2009, 18)",1172.0,2269.0,1206.0,485.0,1883.0,1040.0,2212.0
"(2009, 19)",1116.0,2535.0,1208.0,609.0,1842.0,941.0,1898.0
"(2009, 20)",1040.0,2310.0,1094.0,762.0,1812.0,1006.0,2010.0
"(2009, 21)",1107.0,2616.0,1251.0,1079.0,2123.0,903.0,2055.0
"(2009, 22)",1102.0,2906.0,1211.0,1198.0,1957.0,800.0,2272.0
"(2009, 23)",1159.0,2902.0,1506.0,1080.0,2224.0,1033.0,2823.0
"(2009, 24)",1208.0,2734.0,1371.0,696.0,2411.0,1360.0,2369.0
"(2009, 25)",1495.0,2919.0,1384.0,507.0,2505.0,1241.0,2457.0
"(2009, 26)",1349.0,2859.0,1436.0,575.0,2159.0,1309.0,2640.0
"(2009, 27)",1490.0,2906.0,1444.0,740.0,2243.0,1200.0,2540.0
"(2009, 28)",1270.0,3064.0,1331.0,1131.0,2118.0,1417.0,2632.0
"(2009, 29)",1124.0,2902.0,1330.0,695.0,2283.0,1413.0,2392.0
"(2009, 30)",1196.0,3488.0,1415.0,606.0,2425.0,1375.0,3010.0
"(2009, 31)",1307.0,3964.0,1407.0,617.0,2243.0,1248.0,2566.0
"(2009, 32)",1258.0,2534.0,1310.0,567.0,2046.0,1287.0,2287.0
"(2009, 33)",1232.0,2726.0,1302.0,653.0,1882.0,1181.0,2574.0
"(2009, 34)",1188.0,2654.0,1513.0,813.0,2045.0,1391.0,2627.0
"(2009, 35)",1307.0,2976.0,1437.0,715.0,2052.0,1279.0,2520.0
"(2009, 36)",1513.0,2976.0,1398.0,676.0,1960.0,1278.0,2378.0
"(2009, 37)",1453.0,2969.0,1480.0,558.0,2245.0,1241.0,2607.0
"(2009, 38)",1726.0,3377.0,1534.0,717.0,1886.0,1095.0,2754.0
"(2009, 39)",1304.0,3381.0,1808.0,730.0,2047.0,1327.0,2500.0
"(2009, 40)",1424.0,3159.0,1612.0,587.0,2902.0,1294.0,2749.0
"(2009, 41)",1332.0,3409.0,1531.0,709.0,3076.0,1130.0,2833.0
"(2009, 42)",1259.0,3193.0,1508.0,876.0,2439.0,1082.0,2784.0
"(2009, 43)",1428.0,3527.0,1450.0,884.0,3230.0,974.0,3430.0
"(2009, 44)",1618.0,3742.0,1460.0,781.0,4193.0,1115.0,3001.0
"(2009, 45)",1860.0,3101.0,1573.0,715.0,2426.0,1150.0,3011.0
"(2009, 46)",1549.0,3407.0,1917.0,666.0,2379.0,1115.0,2735.0
"(2009, 47)",1770.0,3357.0,1454.0,784.0,2542.0,1296.0,2742.0
"(2009, 48)",1400.0,3433.0,1418.0,671.0,2744.0,966.0,2647.0
"(2009, 49)",1644.0,3924.0,1702.0,700.0,2818.0,1235.0,2935.0
"(2009, 50)",1576.0,3153.0,1704.0,670.0,2449.0,1217.0,2672.0
"(2009, 51)",1387.0,3661.0,1599.0,786.0,2635.0,1236.0,2675.0
"(2009, 52)",1045.0,3341.0,1483.0,592.0,2141.0,756.0,2318.0
"(2010, 01)",2509.0,4968.0,2584.0,1235.0,3622.0,1729.0,3858.0
"(2010, 02)",1521.0,4003.0,1720.0,681.0,2174.0,1248.0,3195.0
"(2010, 03)",1377.0,3543.0,1772.0,800.0,2655.0,1243.0,3452.0
"(2010, 04)",1572.0,3539.0,1883.0,806.0,2469.0,1429.0,3336.0
"(2010, 05)",1640.0,3650.0,1733.0,806.0,2457.0,1405.0,3182.0
"(2010, 06)",1838.0,3940.0,1968.0,978.0,2669.0,1269.0,3905.0
"(2010, 07)",1771.0,3721.0,2172.0,890.0,2539.0,1208.0,3496.0
"(2010, 08)",1668.0,3532.0,2027.0,959.0,2791.0,1454.0,3862.0
"(2010, 09)",1776.0,3837.0,2551.0,942.0,2537.0,1390.0,3954.0
"(2010, 10)",2168.0,3703.0,2188.0,910.0,2409.0,1370.0,3524.0
"(2010, 11)",1877.0,4020.0,1910.0,872.0,2768.0,1445.0,3729.0
"(2010, 12)",2235.0,3780.0,1984.0,952.0,2849.0,1481.0,3659.0
"(2010, 13)",2068.0,3632.0,2064.0,754.0,2938.0,1220.0,3757.0
"(2010, 14)",2138.0,3953.0,1997.0,971.0,2673.0,1347.0,3630.0
"(2010, 15)",2068.0,4011.0,1818.0,861.0,2896.0,1519.0,4004.0
"(2010, 16)",2160.0,3435.0,2115.0,877.0,2975.0,1536.0,3849.0
"(2010, 17)",2265.0,3616.0,2006.0,1042.0,3344.0,1656.0,3913.0
"(2010, 18)",2357.0,4086.0,2126.0,1030.0,2985.0,1650.0,3377.0
"(2010, 19)",2423.0,4160.0,2001.0,1413.0,3060.0,1584.0,3927.0
"(2010, 20)",2179.0,3852.0,2533.0,840.0,3246.0,1508.0,3892.0
"(2010, 21)",2259.0,3711.0,2224.0,844.0,3146.0,1429.0,4063.0
"(2010, 22)",2322.0,3324.0,2268.0,972.0,3055.0,1279.0,4566.0
"(2010, 23)",2268.0,3840.0,2163.0,913.0,3554.0,1244.0,4202.0
"(2010, 24)",2213.0,3726.0,2688.0,918.0,3682.0,1194.0,3912.0
"(2010, 25)",2235.0,4003.0,2361.0,1014.0,3536.0,1270.0,4065.0
"(2010, 26)",2290.0,4013.0,2309.0,987.0,3498.0,1397.0,3817.0
"(2010, 27)",2016.0,3933.0,2209.0,1045.0,3432.0,1294.0,4075.0
"(2010, 28)",2376.0,4218.0,2360.0,1080.0,3518.0,1488.0,3747.0
"(2010, 29)",2497.0,4114.0,2640.0,1123.0,3095.0,1653.0,3712.0
"(2010, 30)",2548.0,4533.0,2318.0,1048.0,3209.0,1531.0,3772.0
"(2010, 31)",2084.0,4213.0,2120.0,1171.0,3535.0,1372.0,3633.0
"(2010, 32)",2397.0,4563.0,2524.0,1200.0,3347.0,1398.0,3750.0
"(2010, 33)",1977.0,4110.0,2622.0,1200.0,3405.0,1388.0,3734.0
"(2010, 34)",2122.0,4170.0,2385.0,1171.0,3559.0,1540.0,3793.0
"(2010, 35)",2728.0,4170.0,2335.0,1180.0,3533.0,1650.0,3900.0
"(2010, 36)",2460.0,3937.0,2298.0,1069.0,3609.0,1528.0,3943.0
"(2010, 37)",2410.0,4485.0,2608.0,1271.0,3500.0,1661.0,4407.0
"(2010, 38)",2311.0,4162.0,2215.0,1315.0,3348.0,1666.0,4929.0
"(2010, 39)",2402.0,4688.0,2246.0,1315.0,3314.0,1713.0,4730.0
"(2010, 40)",2437.0,4804.0,2464.0,1254.0,3689.0,1934.0,4875.0
"(2010, 41)",2272.0,4842.0,2589.0,1206.0,3735.0,1834.0,4131.0
"(2010, 42)",2769.0,4772.0,2651.0,1232.0,3929.0,1731.0,4498.0
"(2010, 43)",2647.0,4859.0,2574.0,1413.0,3813.0,1809.0,5577.0
"(2010, 44)",2437.0,4633.0,2495.0,1411.0,3996.0,1877.0,5957.0
"(2010, 45)",2851.0,4658.0,2944.0,1316.0,3789.0,1810.0,4784.0
"(2010, 46)",2465.0,4940.0,2618.0,1313.0,4091.0,1663.0,5723.0
"(2010, 47)",2083.0,5164.0,2674.0,1111.0,3943.0,1664.0,4345.0
"(2010, 48)",2147.0,4554.0,2357.0,1240.0,3817.0,2062.0,4645.0
"(2010, 49)",2441.0,4726.0,2592.0,1288.0,4117.0,2086.0,4933.0
"(2010, 50)",2479.0,4775.0,2475.0,1230.0,4254.0,2016.0,4511.0
"(2010, 51)",1985.0,4452.0,2605.0,1067.0,3611.0,1417.0,3996.0
"(2010, 52)",1543.0,3194.0,1565.0,926.0,2531.0,963.0,2882.0
"(2011, 01)",3741.0,5842.0,3664.0,1515.0,4230.0,2051.0,5073.0
"(2011, 02)",2811.0,4809.0,2795.0,1356.0,4326.0,1896.0,5144.0
"(2011, 03)",2663.0,5079.0,3087.0,1357.0,4762.0,1782.0,5007.0
"(2011, 04)",2827.0,5480.0,3244.0,1590.0,5184.0,1907.0,4677.0
"(2011, 05)",3093.0,5225.0,3427.0,1606.0,4693.0,1972.0,5438.0
"(2011, 06)",3139.0,5698.0,3338.0,1672.0,5366.0,2137.0,5506.0
"(2011, 07)",3521.0,7422.0,3082.0,1562.0,4607.0,2294.0,5606.0
"(2011, 08)",3186.0,5957.0,3465.0,1793.0,4862.0,2335.0,5448.0
"(2011, 09)",3178.0,5899.0,3619.0,1495.0,4875.0,2238.0,5798.0
"(2011, 10)",3018.0,6077.0,3477.0,1605.0,4845.0,2351.0,5389.0
"(2011, 11)",2662.0,6387.0,4045.0,1594.0,4757.0,2354.0,5679.0
"(2011, 12)",3244.0,5942.0,3658.0,1398.0,4886.0,2219.0,5796.0
"(2011, 13)",3083.0,6086.0,3645.0,1705.0,4560.0,2097.0,6587.0
"(2011, 14)",3061.0,6336.0,3479.0,1603.0,4641.0,2183.0,5661.0
"(2011, 15)",3230.0,7150.0,3847.0,1523.0,4971.0,2319.0,5770.0
"(2011, 16)",3330.0,6043.0,4608.0,1423.0,4618.0,2139.0,5587.0
"(2011, 17)",3189.0,6268.0,4129.0,1613.0,5013.0,2332.0,5369.0
"(2011, 18)",3236.0,8670.0,4255.0,1636.0,5266.0,2411.0,5680.0
"(2011, 19)",3639.0,14794.0,4161.0,1615.0,5013.0,2360.0,5615.0
"(2011, 20)",4114.0,10483.0,4253.0,1576.0,5057.0,2333.0,6354.0
"(2011, 21)",3057.0,13887.0,4327.0,1592.0,4764.0,2492.0,6015.0
"(2011, 22)",3385.0,6877.0,4860.0,1587.0,4899.0,2465.0,5818.0
"(2011, 23)",3773.0,6772.0,5853.0,1704.0,5417.0,2828.0,5855.0
"(2011, 24)",3466.0,6779.0,5259.0,1599.0,5406.0,2887.0,5563.0
"(2011, 25)",4245.0,7188.0,5675.0,1482.0,5520.0,3291.0,6770.0
"(2011, 26)",3514.0,7135.0,4961.0,1647.0,5556.0,3175.0,6584.0
"(2011, 27)",3136.0,7008.0,4553.0,1758.0,5463.0,2684.0,6444.0
"(2011, 28)",3374.0,7293.0,4622.0,1751.0,5868.0,2791.0,6120.0
"(2011, 29)",3348.0,7785.0,5313.0,1717.0,5856.0,2772.0,6152.0
"(2011, 30)",3541.0,7797.0,4657.0,1678.0,5520.0,2909.0,6546.0
"(2011, 31)",3357.0,7500.0,4926.0,1678.0,5163.0,2715.0,6323.0
"(2011, 32)",3648.0,7363.0,4943.0,1672.0,5295.0,2885.0,6673.0
"(2011, 33)",3712.0,7511.0,5993.0,1801.0,5302.0,3048.0,7370.0
"(2011, 34)",3551.0,7736.0,5467.0,1820.0,5452.0,2948.0,7415.0
"(2011, 35)",3352.0,7117.0,5727.0,1737.0,5754.0,2844.0,7291.0
"(2011, 36)",3365.0,7869.0,5676.0,1809.0,5579.0,3043.0,6817.0
"(2011, 37)",3764.0,8027.0,5592.0,1808.0,6410.0,3144.0,7400.0
"(2011, 38)",4778.0,8564.0,5977.0,2030.0,5608.0,3091.0,7255.0
"(2011, 39)",5064.0,8908.0,5712.0,1996.0,5566.0,3065.0,8209.0
"(2011, 40)",4354.0,8650.0,5936.0,2303.0,5641.0,3225.0,8135.0
"(2011, 41)",4027.0,9785.0,5667.0,2011.0,5859.0,3016.0,8538.0
"(2011, 42)",4643.0,10624.0,6011.0,1993.0,5723.0,3847.0,7826.0
"(2011, 43)",4049.0,9228.0,6464.0,2178.0,6990.0,3512.0,8587.0
"(2011, 44)",4006.0,8836.0,7064.0,2329.0,7429.0,3401.0,8529.0
"(2011, 45)",4084.0,9012.0,6830.0,2151.0,6823.0,3510.0,8709.0
"(2011, 46)",4424.0,9894.0,6484.0,2089.0,6122.0,3593.0,7990.0
"(2011, 47)",3608.0,8867.0,5818.0,2074.0,5809.0,3086.0,6985.0
"(2011, 48)",4385.0,9697.0,5471.0,2388.0,6222.0,3567.0,7921.0
"(2011, 49)",4156.0,9367.0,5772.0,2410.0,6242.0,3406.0,7940.0
"(2011, 50)",4027.0,9400.0,5837.0,2246.0,7198.0,3351.0,7387.0
"(2011, 51)",3622.0,9403.0,5711.0,2234.0,6064.0,3225.0,7231.0
"(2011, 52)",2939.0,7875.0,4704.0,2075.0,5098.0,2566.0,6174.0
"(2012, 01)",4411.0,11016.0,6635.0,2647.0,7563.0,3618.0,9267.0
"(2012, 02)",5411.0,10976.0,5982.0,2493.0,6598.0,3534.0,8799.0
"(2012, 03)",4389.0,10130.0,6170.0,2626.0,7131.0,3472.0,8440.0
"(2012, 04)",4258.0,9439.0,6028.0,2443.0,6234.0,3655.0,8464.0
"(2012, 05)",4436.0,12197.0,6031.0,2686.0,6022.0,3531.0,8441.0
"(2012, 06)",4509.0,11825.0,6497.0,2807.0,6540.0,3758.0,8311.0
"(2012, 07)",4540.0,12459.0,6385.0,2625.0,6804.0,3768.0,8210.0
"(2012, 08)",4860.0,10272.0,7003.0,3462.0,7252.0,4754.0,8766.0
"(2012, 09)",5372.0,9815.0,6823.0,2509.0,6307.0,3955.0,9045.0
"(2012, 10)",5197.0,11395.0,7086.0,2528.0,6581.0,3621.0,11451.0
"(2012, 11)",4725.0,10038.0,7105.0,2517.0,6604.0,4029.0,9637.0
